Date,Impressions,Anomaly Type
2021-01-02,19,Impressions
2021-01-06,20,Impressions
2021-01-07,13,Impressions
2021-01-19,20,Impressions
2021-01-21,16,Impressions
2021-01-22,19,Impressions
2021-01-29,8,Impressions
2021-01-30,15,Impressions
2021-01-31,21,Impressions
2021-02-03,21,Impressions
2021-02-04,7,Impressions
2021-02-05,11,Impressions
2021-02-07,6,Impressions
2021-02-08,20,Impressions
2021-02-18,20,Impressions
2022-03-31,456,Impressions
2022-04-20,367,Impressions
2022-06-10,369,Impressions
2022-07-08,483,Impressions
2022-07-10,463,Impressions
2022-07-11,381,Impressions
2022-07-22,377,Impressions
2022-07-29,421,Impressions
2022-07-30,360,Impressions
2022-08-01,462,Impressions
2022-08-03,379,Impressions
2022-08-08,375,Impressions
2022-08-17,361,Impressions
2022-08-30,503,Impressions
2022-09-04,365,Impressions
2022-09-05,435,Impressions
2022-09-09,391,Impressions
2022-09-12,491,Impressions
2022-09-15,408,Impressions
2022-09-20,368,Impressions
2022-09-21,404,Impressions
2022-09-28,406,Impressions
2022-10-11,449,Impressions
2022-10-12,371,Impressions
2022-10-18,416,Impressions
2023-06-18,485,Impressions
2023-06-19,848,Impressions
2023-06-20,785,Impressions
2023-06-21,442,Impressions
2023-06-22,488,Impressions
2023-06-23,379,Impressions
2023-06-24,432,Impressions
